sentence,gender_sensitive,stereotyping,representation,authorship
Esther Lederberg's work on bacterial genetics was overshadowed by her husband's recognition.,0,0,1,1
Women are more sensitive and prone to crying than men.,0,1,0,0
Alice Ball developed a treatment for leprosy but the credit was given to a male colleague after her death.,0,0,1,1
Descriptive statistics were used to summarize demographic information.,0,0,0,0
The sample size consisted of 200 undergraduate students.,0,0,0,0
Edison invented the lightbulb through his own independent research.,0,0,0,1
Steve Jobs wrote the code for the first Apple computer.,0,0,0,1
The female subjects were described in terms of their physical appearance before their qualifications.,0,0,1,0
Thomas Garcia used the term freshman to describe all new students regardless of gender.,1,0,0,1
Female leaders are often perceived as being bossy.,0,1,0,0
Female academics in the study were described as collaborative while males were described as pioneering.,0,0,1,0
Men do not cry because they are naturally more stoic.,0,1,0,0
Men dominate STEM fields because they are naturally more analytical.,0,1,0,0
Firemen rushed into the burning building.,1,0,0,0
Women who contributed to the findings were listed under general acknowledgments.,0,0,1,0
Zelda Fitzgerald wrote many passages attributed to Scott.,0,0,0,1
Male researchers in the department published twice as many first-author papers as female researchers.,0,0,0,1
Women are naturally more social and talkative than men.,0,1,0,0
The businessman traveled to three countries in one week.,1,0,0,0
The default pronoun used throughout the study to refer to researchers was he.,0,0,1,0
"John Smith argued that mankind is naturally more rational, and his stewardesses proved less capable under pressure.",1,1,0,1
Firemen rushed into the building to save the occupants.,1,0,0,0
The institution's history of leadership shows an unbroken line of male directors.,0,0,1,0
The mailman assumed female residents needed extra help carrying their packages.,1,1,0,0
The fireman was portrayed as rational and heroic while the stewardess was shown as emotional and decorative.,1,1,1,0
Male doctors were shown as decisive while female doctors were portrayed as overly cautious.,0,1,1,0
The female researcher's hypothesis was central to the study but credited to her supervisor.,0,0,1,0
Women are more suited to teaching young children than men.,0,1,0,0
Every nurse must ensure she completes the patient log.,1,0,0,0
The research team consisted of three faculty members and two assistants.,0,0,0,0
Robert Johnson argued that women are naturally better suited for nursing than leadership.,0,1,0,1
Women are incapable of handling frontline combat.,0,1,1,0
Data was stored securely in accordance with privacy regulations.,0,0,0,0
Women are more patient with children because of their maternal instinct.,0,1,0,0
The common man struggles to understand tax laws.,1,0,0,0
The female team members were thanked informally but not credited as authors.,0,0,1,0
The paper follows the APA citation format throughout.,0,0,0,0
The doorman greeted guests as they entered the hotel.,1,0,0,0
Men are less emotional which makes them better in crisis situations.,0,1,0,0
When a child misbehaves his parents are usually informed.,1,0,0,0
Her paper was held to a higher standard of evidence than comparable papers by male authors.,0,0,0,1
Her contributions were absorbed into the project and credited to the team lead who was male.,0,0,1,1
The paper referred to all chairmen as natural leaders while chairwomen were overlooked.,1,0,1,0
Female professionals in the sample were identified by their family status more than their male counterparts.,0,0,1,0
The women in the laboratory were credited as assistants rather than co-investigators.,0,0,1,0
The waitress served the customers quickly.,1,0,0,0
The Wright Brothers invented flight with no external help.,0,0,0,1
Fleming discovered penicillin entirely on his own in his laboratory.,0,0,0,1
The Great Gatsby was purely the work of F. Scott Fitzgerald.,0,0,0,1
Findings were presented at an international academic conference.,0,0,0,0
The historical account of the movement centered male figures while erasing female organizers.,0,0,1,0
The handyman fixed the broken fence over the weekend.,1,0,0,0
Tables and figures were used to present quantitative findings clearly.,0,0,0,0
A policeman directed traffic at the busy intersection.,1,0,0,0
All students must submit their homework by Monday.,0,0,0,0
Men are not suited for roles requiring high empathy.,0,0,1,0
Every student must submit their assignment by Friday.,0,0,0,0
Men handle pain better than women because they are tougher.,0,1,0,0
Survey responses were gathered from participants aged 18 to 65.,0,0,0,0
Nettie Stevens discovered the XY sex-determination system.,0,0,0,1
